id_cliente,tipo_cliente,localidad,id_plan,fecha_alta,fecha_baja,motivo_baja,canal_alta,email,telefono
C2579,Residencial,Pinamar,P04,2023-10-03,2025-12-20,Se muda,Sucursal,cliente1578@gmail.com,2254486715
C2580,Comercial,PINAMAR,P06,2021-03-12,,,Sucursal,cliente1579@hotmail.com,2254430696
C2581,Residencial,CARILÓ,P03,2024-02-19,,,Referido,cliente1580@hotmail.com,+54 2254 408552
C2582,Residencial,pinamar,P03,2024-05-08,,,Sucursal,cliente1581@gmail.com,2254415347
C2583,Residencial,Mar de Ostende,P02,2022-12-02,,,Telefónico,cliente1582@gmail.com,2254430484
C2584,Residencial,Valeria del Mar,P03,2023-10-27,,,Sucursal,cliente1583@gmail.com,2254490421
C2585,Comercial,Pinamar,P06,2022-11-27,,,Telefónico,cliente1584@hotmail.com,02254-495685
C2586,Residencial,Pinamar,P03,2021-06-28,,,Telefónico,cliente1585@gmail.com,2254455409
C2587,Residencial,Cariló,P02,2023-01-31,,,Vendedor,cliente1586@gmail.com,+54 2254 487333
C2588,Residencial,PINAMAR,P03,2023-05-13,,,Sucursal,cliente1587@gmail.com,02254-452226
C2589,RESIDENCIAL,Pinamar,P02,2023-09-10,,,Referido,cliente1588@gmail.com,2254485473
C2590,RESIDENCIAL,Pinamar,P02,2022-10-13,,,Vendedor,cliente1589@telpin.com.ar,2254446352
C2591,Residencial,Valeria del Mar,P04,2022-10-27,,,Sucursal,cliente1590@gmail.com,2254483823
C2592,Residencial,VALERIA DEL MAR,P02,2019-12-27,,,Web,cliente1591@gmail.com,02254-476700
C2593,Residencial,Pinamar,P02,2023-08-15,,,Sucursal,cliente1592@gmail.com,02254-427953
C2594,Residencial,Cariló,P04,2022-01-08,2026-02-22,Disconformidad con el servicio,Vendedor,cliente1593@hotmail.com,02254-419962
C2595,Residencial,General Madariaga,P05,2010-08-09,,,Vendedor,cliente1594@telpin.com.ar,+54 2254 413687
C2596,Comercial,Valeria del Mar,P05,2019-10-02,,,Telefónico,cliente1595@hotmail.com,+54 2254 467069
C2597,Residencial,OSTENDE,P02,2023-05-28,2025-11-22,Falta de pago,Web,cliente1596@hotmail.com,2254488237
C2598,Residencial,General Madariaga,P03,2020-10-03,,,Web,cliente1597@gmail.com,2254428449
C2599,Residencial,Mar de Ostende,P02,2021-12-01,,,Sucursal,,02254-419753
C2600,Comercial,Pinamar,P06,2021-07-07,,,Sucursal,cliente1599@yahoo.com.ar,02254-422221
C2601,Residencial,Valeria del Mar,P02,2022-10-02,2026-07-23,Disconformidad con el servicio,Web,cliente1600@gmail.com,+54 2254 472870
C2602,Residencial,Pinamar,P02,2020-11-02,,,Referido,,+54 2254 434036
C2603,Residencial,Pinamar,P03,2022-08-14,,,Sucursal,cliente1602@gmail.com,+54 2254 474966
C2604,Residencial,Valeria del Mar,P03,2021-09-06,,,Vendedor,cliente1603@gmail.com,2254410890
C2605,Residencial,  Pinamar ,P02,2023-04-24,,,Telefónico,cliente1604@gmail.com,02254-412857
C2606,RESIDENCIAL,Cariló,P01,2023-05-01,,,Vendedor,cliente1605@gmail.com,02254-463180
C2607,Comercial,Mar de Ostende,P06,2023-08-11,,,Vendedor,cliente1606@hotmail.com,02254-419556
C2608,Residencial,Valeria del Mar,P05,2022-07-21,,,Sucursal,cliente1607@gmail.com,+54 2254 479771
C2609,Residencial,Valeria del Mar,P02,2019-10-06,,,Telefónico,cliente1608@hotmail.com,+54 2254 484204
C2610,Comercial,Pinamar,P06,2020-02-06,,,Vendedor,cliente1609@yahoo.com.ar,2254475768
C2611,residencial,PINAMAR,P04,2023-12-10,,,Web,cliente1610@hotmail.com,2254404173
C2612,Residencial,Ostende,P01,2022-09-11,,,Sucursal,cliente1611@gmail.com,+54 2254 439603
C2613,Residencial,General Madariaga,P02,2019-03-04,,,Sucursal,cliente1612@telpin.com.ar,2254409863
C2614,Residencial,Valeria del Mar,P02,2022-09-15,,,Sucursal,cliente1613@gmail.com,+54 2254 440823
C2615,Residencial,Mar de Ostende,P01,2023-07-19,,,Vendedor,cliente1614@hotmail.com,02254-403165
C2616,Residencial,  Ostende ,P01,2021-06-09,2025-02-01,Falta de pago,Referido,cliente1615@telpin.com.ar,+54 2254 497963
C2617,Comercial,Pinamar,P06,2024-05-27,,,Vendedor,cliente1616@hotmail.com,+54 2254 489216
C2618,Residencial,Cariló,P05,2022-08-21,,,Sucursal,cliente1617@gmail.com,2254415000
C2619,RESIDENCIAL,Valeria del Mar,P02,2023-04-28,,,Telefónico,cliente1618@gmail.com,02254-437047
C2620,Residencial,Valeria del Mar,P01,2022-04-09,,,Referido,cliente1619@gmail.com,02254-441320
C2621,Residencial,Pinamar,P05,2022-07-29,,,Telefónico,cliente1620@gmail.com,2254415468
C2622,Comercial,Valeria del Mar,P06,2021-07-05,,,Vendedor,cliente1621@gmail.com,+54 2254 431545
C2623,Residencial,Pinamar,P02,2018-03-10,,,Web,,
C2624,Residencial,Cariló,P01,2024-03-28,,,Referido,cliente1623@gmail.com,+54 2254 432762
C2625,Residencial,Valeria del Mar,P02,2022-01-07,2025-10-11,Fin de temporada,Vendedor,cliente1624@yahoo.com.ar,2254417151
C2626,Residencial,Valeria del Mar,P02,2021-10-01,,,Sucursal,cliente1625@gmail.com,02254-403155
C2627,Residencial,Ostende,P01,2021-03-10,,,Vendedor,cliente1626@gmail.com,
C2628,Residencial,Mar de Ostende,P02,2022-10-13,,,Web,cliente1627@hotmail.com,02254-420094
C2629,Residencial,CARILÓ,P02,2020-09-20,2026-06-07,Disconformidad con el servicio,Referido,cliente1628@gmail.com,+54 2254 472722
C2630,Comercial,MAR DE OSTENDE,P06,2023-12-09,,,Telefónico,cliente1629@telpin.com.ar,2254403429
C2631,Comercial,Ostende,P05,2022-08-27,,,Vendedor,,02254-439204
C2632,Residencial,Pinamar,P02,2021-03-30,,,Sucursal,cliente1631@gmail.com,2254446285
C2633,Residencial,Valeria del Mar,P03,2021-05-01,2025-12-24,Fin de temporada,Vendedor,cliente1632@hotmail.com,02254-453188
C2634,residencial,Pinamar,P01,2020-02-05,,,Vendedor,cliente1633@hotmail.com,
C2635,Residencial,Mar de Ostende,P03,2022-02-09,,,Telefónico,cliente1634@yahoo.com.ar,+54 2254 456218
C2636,Residencial,CARILÓ,P03,2019-04-18,,,Web,cliente1635@yahoo.com.ar,02254-421185
C2637,Residencial,Pinamar,P01,2021-07-15,2025-01-03,Precio,Telefónico,cliente1636@gmail.com,+54 2254 405867
C2638,RESIDENCIAL,Ostende,P02,2022-01-28,2026-02-13,Falta de pago,Sucursal,cliente1637@gmail.com,02254-495235
C2639,Residencial,Pinamar,P01,2021-07-02,,,Sucursal,cliente1638@gmail.com,+54 2254 443693
C2640,Residencial,Cariló,P05,2023-12-26,,,Web,cliente1639@gmail.com,2254406948
C2641,Residencial,Pinamar,P03,2022-08-05,2026-03-09,Precio,Sucursal,,2254425630
C2642,RESIDENCIAL,Mar de Ostende,P02,2020-01-09,2024-09-30,Fin de temporada,Telefónico,cliente1641@telpin.com.ar,2254450153
C2643,Residencial,Valeria del Mar,P02,2024-05-16,,,Sucursal,cliente1642@gmail.com,+54 2254 426561
C2644,Residencial,valeria del mar,P02,2023-12-24,,,Sucursal,cliente1643@gmail.com,+54 2254 463222
C2645,comercial,Valeria del Mar,P06,2023-12-24,,,Vendedor,cliente1644@gmail.com,2254452559
C2646,Comercial,Pinamar,P06,2023-02-16,2026-06-24,Competencia,Referido,,02254-409682
C2647,Residencial,Pinamar,P03,2023-08-27,2026-01-06,Competencia,Sucursal,cliente1646@gmail.com,+54 2254 472417
C2648,Residencial,Pinamar,P02,2021-04-28,,,Web,cliente1647@yahoo.com.ar,+54 2254 431093
C2649,Residencial,General Madariaga,P01,2020-02-12,,,Sucursal,cliente1648@hotmail.com,02254-486400
C2650,Comercial,General Madariaga,P06,2019-07-31,,,Referido,cliente1649@hotmail.com,+54 2254 467935
C2651,Residencial,Pinamar,P02,2022-04-09,2024-10-24,Competencia,Sucursal,cliente1650@hotmail.com,
C2652,Residencial,Pinamar,P02,2022-04-05,,,Sucursal,cliente1651@gmail.com,02254-489550
C2653,Residencial,Pinamar,P02,2023-02-10,,,Web,,2254410640
C2654,Residencial,Mar de Ostende,P01,2021-05-23,,,Sucursal,cliente1653@gmail.com,02254-492066
C2655,Residencial,Ostende,P03,2023-05-09,,,Web,cliente1654@gmail.com,02254-475897
C2656,Residencial,Mar de Ostende,P05,2017-02-16,,,Sucursal,cliente1655@hotmail.com,+54 2254 464038
C2657,Residencial,Pinamar,P01,2019-02-02,,,Telefónico,cliente1656@gmail.com,
C2658,Residencial,Cariló,P01,2016-06-18,,,Telefónico,cliente1657@gmail.com,2254499793
C2659,Residencial,Pinamar,P03,2018-12-30,,,Web,cliente1658@gmail.com,
C2660,Comercial,Pinamar,P05,2020-08-24,,,Referido,cliente1659@gmail.com,02254-486164
C2661,RESIDENCIAL,Pinamar,P04,2021-02-26,,,Web,cliente1660@hotmail.com,02254-428490
C2662,Residencial,Cariló,P02,2016-11-02,2025-03-15,Fin de temporada,Sucursal,cliente1661@hotmail.com,+54 2254 408968
C2663,Residencial,Pinamar,P03,2023-01-30,,,Telefónico,cliente1662@yahoo.com.ar,
C2664,Residencial,Valeria del Mar,P01,2022-10-18,,,Vendedor,cliente1663@gmail.com,2254496335
C2665,Residencial,Valeria del Mar,P03,2014-04-27,2026-07-08,Se muda,Telefónico,,2254442277
C2666,Residencial,Ostende,P02,2023-09-04,,,Vendedor,cliente1665@telpin.com.ar,2254445947
C2667,Residencial,General Madariaga,P01,2021-11-10,,,Sucursal,cliente1666@hotmail.com,+54 2254 409962
C2668,Residencial,Valeria del Mar,P03,2020-03-21,,,Vendedor,cliente1667@gmail.com,+54 2254 458960
C2669,Residencial,Pinamar,P04,2022-05-30,2025-08-06,Sin motivo declarado,Web,cliente1668@gmail.com,2254480183
C2670,Residencial,Ostende,P03,2022-12-08,,,Vendedor,cliente1669@gmail.com,
C2671,Residencial,Ostende,P05,2018-03-29,,,Sucursal,cliente1670@gmail.com,02254-483698
C2672,Residencial,Pinamar,P02,2023-05-29,,,Web,cliente1671@telpin.com.ar,02254-473258
C2673,Residencial,Pinamar,P04,2022-03-09,,,Telefónico,cliente1672@yahoo.com.ar,02254-415788
C2674,Residencial,Valeria del Mar,P03,2019-09-23,,,Vendedor,cliente1673@hotmail.com,+54 2254 497890
C2675,Residencial,Pinamar,P05,2020-12-04,,,Vendedor,,02254-416746
C2676,Residencial,Valeria del Mar,P02,2020-06-28,,,Referido,cliente1675@gmail.com,2254419890
C2677,Residencial,Pinamar,P04,2023-02-11,,,Sucursal,cliente1676@gmail.com,02254-468198
C2678,residencial,Pinamar,P04,2022-05-01,,,Sucursal,cliente1677@gmail.com,
C2679,Residencial,General Madariaga,P02,2019-08-31,,,Referido,cliente1678@yahoo.com.ar,
C2680,Residencial,General Madariaga,P01,2023-06-29,,,Sucursal,,2254440557
C2681,Residencial,Pinamar,P02,2022-04-17,,,Sucursal,cliente1680@telpin.com.ar,2254496094
C2682,Residencial,Pinamar,P03,2023-09-11,,,Web,cliente1681@hotmail.com,02254-483340
C2683,Residencial,Pinamar,P02,2021-10-08,,,Web,,02254-434930
C2684,Residencial,Cariló,P04,2021-10-24,2024-08-01,Precio,Telefónico,cliente1683@gmail.com,
C2685,Residencial,Ostende,P01,2022-09-06,2025-03-01,Precio,Vendedor,cliente1684@gmail.com,2254422848
C2686,Residencial,Mar de Ostende,P03,2019-11-24,,,Web,cliente1685@hotmail.com,+54 2254 476498
C2687,Residencial,Ostende,P04,2023-08-14,,,Telefónico,cliente1686@hotmail.com,02254-444257
C2688,Residencial,OSTENDE,P01,2019-08-19,,,Web,cliente1687@telpin.com.ar,2254485638
C2689,Residencial,Pinamar,P05,2021-12-21,,,Web,cliente1688@gmail.com,02254-411261
C2690,Residencial,Pinamar,P02,2020-12-26,,,Web,cliente1689@gmail.com,02254-427150
C2691,Residencial,General Madariaga,P02,2021-04-24,,,Web,cliente1690@telpin.com.ar,+54 2254 481883
C2692,Residencial,Pinamar,P01,2023-04-14,,,Sucursal,cliente1691@gmail.com,+54 2254 425804
C2693,Residencial,Pinamar,P02,2022-06-17,2025-12-27,Precio,Telefónico,cliente1692@gmail.com,+54 2254 463583
C2694,Residencial,Valeria del Mar,P01,2020-10-24,2025-01-27,Fin de temporada,Sucursal,cliente1693@telpin.com.ar,2254497067
C2695,Residencial,Pinamar,P01,2018-08-31,,,Vendedor,cliente1694@gmail.com,+54 2254 424603
C2696,Comercial,Pinamar,P06,2022-09-14,,,Telefónico,cliente1695@gmail.com,2254489564
C2697,Residencial,Cariló,P04,2021-01-22,,,Web,cliente1696@gmail.com,02254-433992
C2698,Residencial,Valeria del Mar,P02,2021-04-10,2024-10-13,Precio,Web,cliente1697@gmail.com,02254-436914
C2699,Residencial,pinamar,P01,2022-10-21,,,Telefónico,cliente1698@gmail.com,+54 2254 465420
C2700,residencial,Ostende,P02,2016-11-01,,,Vendedor,cliente1699@hotmail.com,+54 2254 450517
C2701,residencial,Valeria del Mar,P01,2021-05-11,2026-01-31,Precio,Sucursal,cliente1700@telpin.com.ar,2254480821
C2702,Residencial,Pinamar,P04,2022-01-16,2025-10-05,Sin motivo declarado,Telefónico,cliente1701@gmail.com,+54 2254 487880
C2703,Residencial,Pinamar,P01,2022-07-19,2024-10-08,Disconformidad con el servicio,Sucursal,cliente1702@gmail.com,2254489166
C2704,Comercial,Ostende,P06,2022-11-30,,,Web,cliente1703@hotmail.com,+54 2254 420485
C2705,residencial,General Madariaga,P01,2022-02-12,2026-05-08,Falta de pago,Referido,cliente1704@hotmail.com,
C2706,RESIDENCIAL,General Madariaga,P03,2019-03-29,,,Sucursal,cliente1705@gmail.com,+54 2254 494710
C2707,Residencial,Pinamar,P02,2022-04-10,2025-01-17,Precio,Web,cliente1706@gmail.com,02254-405426
C2708,Residencial,General Madariaga,P05,2017-11-23,,,Web,,
C2709,Residencial,General Madariaga,P02,2023-03-24,,,Sucursal,cliente1708@gmail.com,02254-492252
C2710,Residencial,Pinamar,P04,2022-04-23,,,Sucursal,cliente1709@hotmail.com,+54 2254 442802
C2711,Residencial,Ostende,P01,2022-03-09,,,Telefónico,cliente1710@yahoo.com.ar,2254441217
C2712,Residencial,mar de ostende,P03,2021-04-29,,,Telefónico,cliente1711@telpin.com.ar,2254427030
C2713,Residencial,General Madariaga,P03,2022-04-18,,,Referido,cliente1712@telpin.com.ar,
C2714,Residencial,  Pinamar ,P04,2023-01-24,2026-06-30,Se muda,Sucursal,cliente1713@gmail.com,+54 2254 475888
C2715,Residencial,Valeria del Mar,P02,2020-05-07,2025-04-12,Falta de pago,Vendedor,cliente1714@gmail.com,2254496090
C2716,COMERCIAL,Pinamar,P06,2020-09-25,,,Vendedor,cliente1715@gmail.com,2254496720
C2717,Residencial,Valeria del Mar,P04,2023-05-10,,,Sucursal,cliente1716@gmail.com,2254426072
C2718,Residencial,VALERIA DEL MAR,P05,2020-11-30,2025-02-26,Falta de pago,Referido,cliente1717@gmail.com,+54 2254 474147
C2719,Residencial,Pinamar,P02,2024-04-21,,,Sucursal,cliente1718@gmail.com,+54 2254 416804
C2720,Comercial,General Madariaga,P06,2019-11-30,,,Sucursal,cliente1719@telpin.com.ar,2254434221
C2721,Residencial,mar de ostende,P03,2024-01-11,,,Sucursal,cliente1720@telpin.com.ar,
C2722,Residencial,  Pinamar ,P04,2021-06-02,,,Web,cliente1721@gmail.com,2254474335
C2723,Residencial,Pinamar,P04,2023-03-08,,,Web,cliente1722@gmail.com,02254-446879
C2724,Residencial,Pinamar,P02,2022-08-04,,,Vendedor,,+54 2254 453722
C2725,Comercial,Valeria del Mar,P06,2022-02-06,2025-02-20,Falta de pago,Telefónico,cliente1724@gmail.com,02254-422972
C2726,Residencial,Pinamar,P01,2019-04-27,,,Web,cliente1725@gmail.com,+54 2254 443375
C2727,Residencial,Ostende,P01,2015-06-05,,,Referido,cliente1726@yahoo.com.ar,2254431833
C2728,Residencial,pinamar,P05,2020-02-27,,,Web,cliente1727@gmail.com,
C2729,Residencial,Pinamar,P04,2019-10-27,,,Vendedor,cliente1728@gmail.com,+54 2254 418059
C2730,Residencial,Pinamar,P03,2020-10-29,,,Referido,cliente1729@yahoo.com.ar,
C2731,Residencial,Pinamar,P03,2021-11-14,,,Vendedor,cliente1730@telpin.com.ar,02254-490681
C2732,Comercial,Pinamar,P06,2021-04-21,,,Vendedor,cliente1731@gmail.com,02254-409706
C2733,Residencial,Pinamar,P02,2021-04-01,,,Web,cliente1732@gmail.com,
C2734,Comercial,Ostende,P06,2022-01-06,,,Vendedor,cliente1733@gmail.com,+54 2254 447194
C2735,Residencial,Pinamar,P04,2021-02-22,,,Sucursal,cliente1734@gmail.com,2254419397
C2736,Residencial,Mar de Ostende,P01,2024-02-16,2025-02-20,Precio,Sucursal,cliente1735@hotmail.com,+54 2254 426148
C2737,residencial,Pinamar,P01,2024-03-15,,,Telefónico,,2254462093
C2738,Residencial,Valeria del Mar,P02,2021-09-20,2026-06-19,Fin de temporada,Web,cliente1737@gmail.com,02254-438044
C2739,Residencial,Valeria del Mar,P02,2022-06-27,,,Sucursal,cliente1738@yahoo.com.ar,
C2740,Residencial,Pinamar,P03,2024-04-07,2024-12-27,Falta de pago,Vendedor,,+54 2254 406487
C2741,residencial,Pinamar,P01,2022-03-04,2025-05-20,Disconformidad con el servicio,Referido,cliente1740@telpin.com.ar,
C2742,Residencial,Pinamar,P01,2022-09-21,,,Sucursal,cliente1741@gmail.com,2254447805
C2743,Residencial,Pinamar,P02,2024-01-10,,,Web,cliente1742@yahoo.com.ar,02254-454579
C2744,Residencial,Cariló,P03,2022-07-06,,,Sucursal,cliente1743@gmail.com,+54 2254 432648
C2745,Residencial,pinamar,P02,2022-10-20,,,Telefónico,cliente1744@gmail.com,2254455046
C2746,Residencial,Pinamar,P03,2023-07-31,,,Vendedor,cliente1745@yahoo.com.ar,+54 2254 441822
C2747,Comercial,Pinamar,P06,2021-07-24,,,Sucursal,cliente1746@gmail.com,02254-490406
C2748,Residencial,Ostende,P03,2020-11-04,,,Sucursal,cliente1747@hotmail.com,2254442967
C2749,Residencial,Pinamar,P03,2017-06-01,,,Telefónico,cliente1748@hotmail.com,02254-402947
C2750,RESIDENCIAL,  Pinamar ,P03,2024-02-22,,,Sucursal,cliente1749@hotmail.com,2254466813
C2751,Residencial,pinamar,P01,2021-01-09,2026-03-21,Competencia,Referido,cliente1750@telpin.com.ar,+54 2254 444339
C2752,RESIDENCIAL,Mar de Ostende,P01,2023-05-16,,,Telefónico,cliente1751@gmail.com,02254-463962
C2753,Residencial,Pinamar,P01,2017-09-20,,,Referido,,+54 2254 459890
C2754,Residencial,cariló,P01,2022-06-27,2025-12-31,Fin de temporada,Sucursal,,+54 2254 442519
C2755,Residencial,Valeria del Mar,P01,2015-01-01,,,Web,cliente1754@telpin.com.ar,
C2756,Residencial,valeria del mar,P03,2021-07-08,,,Referido,cliente1755@gmail.com,02254-403884
C2757,Residencial,valeria del mar,P03,2023-10-30,2025-02-05,Fin de temporada,Referido,cliente1756@gmail.com,+54 2254 446102
C2758,Comercial,MAR DE OSTENDE,P06,2023-03-25,,,Sucursal,cliente1757@gmail.com,2254453054
C2759,Residencial,Mar de Ostende,P03,2021-12-02,,,Vendedor,,+54 2254 406074
C2760,Residencial,Ostende,P01,2023-09-09,,,Vendedor,cliente1759@gmail.com,+54 2254 435328
C2761,Residencial,Pinamar,P02,2021-11-28,,,Telefónico,cliente1760@gmail.com,2254421621
C2762,Residencial,Pinamar,P01,2016-12-22,,,Sucursal,,2254461334
C2763,Residencial,valeria del mar,P02,2020-11-21,2026-05-21,Competencia,Vendedor,cliente1762@gmail.com,2254441326
C2764,RESIDENCIAL,Ostende,P02,2022-04-13,2024-09-26,Falta de pago,Web,cliente1763@gmail.com,02254-404696
C2765,RESIDENCIAL,Valeria del Mar,P02,2020-12-25,2025-03-14,Fin de temporada,Referido,cliente1764@yahoo.com.ar,02254-448936
C2766,Residencial,Pinamar,P04,2020-07-05,2025-04-03,Se muda,Sucursal,cliente1765@hotmail.com,+54 2254 437079
C2767,Residencial,Pinamar,P03,2021-04-15,,,Vendedor,cliente1766@gmail.com,+54 2254 426221
C2768,Residencial,Cariló,P02,2020-10-02,,,Telefónico,cliente1767@hotmail.com,02254-483256
C2769,Residencial,Ostende,P02,2023-06-28,,,Sucursal,cliente1768@gmail.com,2254429035
C2770,Residencial,Cariló,P02,2020-08-30,,,Telefónico,cliente1769@hotmail.com,2254417679
C2771,Residencial,Cariló,P05,2020-09-21,,,Sucursal,cliente1770@gmail.com,+54 2254 479596
C2772,Residencial,Ostende,P01,2023-03-09,,,Sucursal,cliente1771@hotmail.com,02254-460547
C2773,Residencial,Pinamar,P02,2020-09-10,,,Sucursal,cliente1772@gmail.com,+54 2254 468741
C2774,Residencial,OSTENDE,P02,2023-02-16,2025-09-05,Disconformidad con el servicio,Sucursal,cliente1773@hotmail.com,02254-457193
C2775,Residencial,Pinamar,P02,2020-07-04,,,Sucursal,cliente1774@telpin.com.ar,02254-443074
C2776,Comercial,Cariló,P05,2023-10-31,,,Vendedor,cliente1775@telpin.com.ar,2254455351
C2777,Residencial,Cariló,P03,2022-11-03,2024-12-29,Precio,Sucursal,cliente1776@gmail.com,02254-401024
C2778,Residencial,Pinamar,P03,2020-09-12,,,Vendedor,cliente1777@yahoo.com.ar,
C2779,RESIDENCIAL,Valeria del Mar,P02,2016-07-11,2025-03-29,Fin de temporada,Vendedor,cliente1778@telpin.com.ar,2254440992
C2780,Comercial,General Madariaga,P06,2021-10-06,,,Sucursal,cliente1779@telpin.com.ar,+54 2254 437219
C2781,Residencial,mar de ostende,P01,2021-12-28,,,Web,cliente1780@gmail.com,2254410127
C2782,Residencial,CARILÓ,P03,2023-09-09,,,Web,cliente1781@hotmail.com,+54 2254 458649
C2783,Residencial,Ostende,P04,2019-03-08,,,Vendedor,cliente1782@gmail.com,+54 2254 408119
C2784,Residencial,Ostende,P01,2018-12-25,,,Sucursal,cliente1783@hotmail.com,+54 2254 461139
C2785,Residencial,Cariló,P02,2017-04-17,2026-02-15,Se muda,Referido,,2254407732
C2786,Residencial,Valeria del Mar,P01,2022-04-10,,,Sucursal,cliente1785@hotmail.com,2254442508
C2787,Residencial,Pinamar,P02,2022-10-13,,,Vendedor,cliente1786@gmail.com,02254-406049
C2788,Residencial,Pinamar,P02,2020-04-27,,,Sucursal,cliente1787@telpin.com.ar,2254442611
C2789,Residencial,Valeria del Mar,P02,2020-09-06,,,Sucursal,cliente1788@gmail.com,02254-469369
C2790,Residencial,Pinamar,P05,2022-10-18,,,Sucursal,,+54 2254 423146
C2791,Residencial,Mar de Ostende,P04,2022-04-22,,,Referido,cliente1790@telpin.com.ar,2254452406
C2792,Comercial,Pinamar,P06,2023-10-24,,,Web,cliente1791@gmail.com,2254407875
C2793,Residencial,Carilo,P04,2023-04-27,,,Telefónico,cliente1792@hotmail.com,02254-479180
C2794,Residencial,Valeria del Mar,P02,2023-04-14,,,Web,cliente1793@telpin.com.ar,2254421846
C2795,residencial,Cariló,P01,2022-03-30,2026-04-30,Precio,Sucursal,cliente1794@gmail.com,+54 2254 488876
C2796,Residencial,Pinamar,P02,2021-01-18,,,Vendedor,cliente1795@hotmail.com,02254-463988
C2797,RESIDENCIAL,Cariló,P02,2018-06-16,,,Referido,cliente1796@gmail.com,02254-473585
C2798,Residencial,Cariló,P01,2020-05-09,2026-05-19,Se muda,Sucursal,cliente1797@yahoo.com.ar,
C2799,Comercial,Ostende,P06,2020-03-28,2025-03-24,Falta de pago,Web,cliente1798@gmail.com,2254499578
C2800,Residencial,pinamar,P03,2023-05-02,,,Sucursal,cliente1799@telpin.com.ar,+54 2254 485974
C2801,Residencial,Mar de Ostende,P03,2022-09-12,,,Sucursal,cliente1800@gmail.com,2254428235
C2802,Residencial,Pinamar,P01,2023-05-24,,,Sucursal,,02254-465991
C2803,Comercial,General Madariaga,P05,2021-12-02,,,Sucursal,cliente1802@gmail.com,
C2804,Residencial,Mar de Ostende,P03,2022-04-01,,,Vendedor,cliente1803@gmail.com,2254493864
C2805,Residencial,Pinamar,P02,2024-05-29,,,Web,cliente1804@gmail.com,2254488353
C2806,Residencial,Pinamar,P01,2023-02-18,2025-10-16,Se muda,Telefónico,cliente1805@yahoo.com.ar,
C2807,Residencial,pinamar,P01,2020-06-29,,,Web,cliente1806@gmail.com,+54 2254 421572
C2808,Comercial,Pinamar,P06,2020-03-18,,,Telefónico,,+54 2254 407739
C2809,Comercial,Valeria del Mar,P06,2023-06-16,,,Vendedor,cliente1808@gmail.com,2254440683
C2810,Residencial,Ostende,P04,2021-11-20,,,Web,cliente1809@gmail.com,2254415386
C2811,Residencial,General Madariaga,P02,2020-07-05,,,Telefónico,cliente1810@hotmail.com,2254437780
C2812,Residencial,Valeria del Mar,P03,2023-02-14,,,Web,cliente1811@gmail.com,2254471917
C2813,Residencial,Valeria del Mar,P04,2018-11-20,,,Sucursal,cliente1812@hotmail.com,2254434177
C2814,residencial,mar de ostende,P03,2022-05-09,,,Sucursal,cliente1813@yahoo.com.ar,+54 2254 486381
C2815,Residencial,Valeria del Mar,P02,2022-11-22,,,Web,cliente1814@hotmail.com,2254443159
C2816,Residencial,Pinamar,P02,2021-12-07,,,Web,cliente1815@gmail.com,
C2817,Residencial,Cariló,P02,2020-09-05,,,Referido,cliente1816@gmail.com,02254-405306
C2818,Residencial,Pinamar,P03,2020-08-04,,,Sucursal,,
C2819,Residencial,Pinamar,P04,2024-03-30,,,Web,cliente1818@gmail.com,02254-496053
C2820,Residencial,Pinamar,P01,2018-06-30,,,Web,cliente1819@gmail.com,+54 2254 414399
C2821,Residencial,Mar de Ostende,P01,2023-05-06,,,Telefónico,cliente1820@hotmail.com,+54 2254 494758
C2822,RESIDENCIAL,Pinamar,P01,2022-10-22,2025-12-12,Sin motivo declarado,Referido,cliente1821@hotmail.com,2254477573
C2823,Residencial,Valeria del Mar,P04,2021-10-16,,,Web,cliente1822@yahoo.com.ar,
C2824,Residencial,Cariló,P02,2021-10-18,2025-02-09,Se muda,Telefónico,cliente1823@telpin.com.ar,02254-473393
C2825,RESIDENCIAL,Cariló,P03,2021-03-20,,,Referido,cliente1824@gmail.com,2254489184
C2826,Comercial,Pinamar,P06,2021-06-05,,,Web,cliente1825@gmail.com,
C2827,Residencial,Pinamar,P04,2023-02-04,,,Sucursal,,02254-468278
C2828,residencial,pinamar,P04,2017-08-20,,,Telefónico,cliente1827@gmail.com,02254-403291
C2829,residencial,Ostende,P05,2023-05-02,,,Web,cliente1828@gmail.com,+54 2254 438235
C2830,RESIDENCIAL,  Pinamar ,P02,2015-12-01,2024-12-21,Disconformidad con el servicio,Vendedor,cliente1829@gmail.com,02254-433752
C2831,Residencial,General Madariaga,P02,2022-01-15,,,Referido,,2254409023
C2832,Residencial,Pinamar,P02,2023-12-19,,,Telefónico,cliente1831@hotmail.com,2254476249
C2833,Residencial,Valeria del Mar,P05,2018-04-08,,,Telefónico,cliente1832@gmail.com,02254-454325
C2834,Residencial,Carilo,P01,2023-08-11,,,Web,cliente1833@gmail.com,
C2835,Comercial,Pinamar,P06,2019-12-08,,,Web,cliente1834@hotmail.com,2254455442
C2836,Residencial,Pinamar,P05,2021-07-29,,,Web,cliente1835@hotmail.com,02254-411012
C2837,Comercial,Pinamar,P06,2016-04-26,,,Web,cliente1836@hotmail.com,+54 2254 462844
C2838,RESIDENCIAL,Pinamar,P03,2022-03-03,,,Web,cliente1837@gmail.com,02254-478205
C2839,Residencial,Pinamar,P02,2024-04-25,,,Web,cliente1838@telpin.com.ar,02254-479572
